ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
211028_s_at	3.27e-01	2.33e-01	-1.206806	-6.051813	-0.2239921	KHK	ketohexokinase
208779_x_at	3.27e-01	2.33e-01	1.206782	-6.051842	0.2900107	MIR4640///DDR1	microRNA 4640///discoidin domain receptor tyrosine kinase 1
219310_at	3.27e-01	2.34e-01	1.20652	-6.052151	0.3202526	SYNDIG1	synapse differentiation inducing 1
201338_x_at	3.27e-01	2.34e-01	1.206502	-6.052172	0.177142	GTF3A	general transcription factor IIIA
217868_s_at	3.27e-01	2.34e-01	1.206287	-6.052426	0.1741083	METTL9	methyltransferase like 9
215603_x_at	3.27e-01	2.34e-01	-1.206284	-6.052429	-0.5277664	LOC102724197///LOC100132705///GGT2///GGTLC1///GGTLC2///GGT3P///GGT1	inactive gamma-glutamyltranspeptidase 2-like///immunoglobulin superfamily member 3-like///gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 3 pseudogene///gamma-glutamyltransferase 1
205021_s_at	3.27e-01	2.34e-01	-1.206043	-6.052713	-0.1880168	FOXN3	forkhead box N3
206106_at	3.27e-01	2.34e-01	1.206016	-6.052745	0.3165345	MAPK12	mitogen-activated protein kinase 12
203763_at	3.28e-01	2.34e-01	-1.205806	-6.052994	-0.2482182	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1
223329_x_at	3.28e-01	2.34e-01	1.205584	-6.053254	0.2026967	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone
1569150_x_at	3.28e-01	2.34e-01	1.205085	-6.053843	0.3599693	PDLIM7	PDZ and LIM domain 7
206734_at	3.28e-01	2.34e-01	-1.204905	-6.054055	-0.3648301	JRKL	JRK-like
1552347_at	3.28e-01	2.34e-01	-1.204861	-6.054107	-0.259336	CRYZL1	crystallin zeta like 1
205308_at	3.28e-01	2.34e-01	-1.204354	-6.054704	-0.4851678	ZC2HC1A	zinc finger C2HC-type containing 1A
213894_at	3.28e-01	2.34e-01	-1.204309	-6.054757	-0.3826426	THSD7A	thrombospondin type 1 domain containing 7A
205691_at	3.28e-01	2.35e-01	1.203781	-6.055379	0.4713988	SYNGR3	synaptogyrin 3
232805_at	3.29e-01	2.35e-01	1.20319	-6.056074	0.6068579		
200888_s_at	3.29e-01	2.35e-01	-1.20304	-6.056251	-0.2424526	SNORA21///RPL23	small nucleolar RNA, H/ACA box 21///ribosomal protein L23
213251_at	3.29e-01	2.35e-01	1.202937	-6.056372	0.1835119	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
211961_s_at	3.29e-01	2.35e-01	1.202838	-6.056489	0.1901481	RAB7A	RAB7A, member RAS oncogene family
219506_at	3.29e-01	2.35e-01	-1.202786	-6.05655	-0.2803354	C1orf54	chromosome 1 open reading frame 54
1569519_at	3.29e-01	2.35e-01	1.202761	-6.056579	0.2455747	LOC102724250///NBPF26///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF1///NBPF14	neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14
229629_at	3.29e-01	2.35e-01	1.202611	-6.056756	0.5587926		
224680_at	3.29e-01	2.35e-01	-1.202546	-6.056832	-0.1507496	TMED4	transmembrane p24 trafficking protein 4
218130_at	3.29e-01	2.35e-01	1.202507	-6.056878	0.3243533	C17orf62	chromosome 17 open reading frame 62
241922_at	3.29e-01	2.35e-01	-1.20246	-6.056933	-0.2824995	LMO4	LIM domain only 4
235722_at	3.29e-01	2.35e-01	1.202417	-6.056983	0.2998708	SYNJ2BP-COX16///SYNJ2BP	SYNJ2BP-COX16 readthrough///synaptojanin 2 binding protein
233974_s_at	3.29e-01	2.35e-01	1.202268	-6.057159	0.2028015	FAM129B	family with sequence similarity 129 member B
203709_at	3.29e-01	2.35e-01	1.202045	-6.057421	0.2951882	PHKG2	phosphorylase kinase catalytic subunit gamma 2
239212_at	3.29e-01	2.35e-01	1.202029	-6.05744	0.171529	LTV1	LTV1 ribosome biogenesis factor
221270_s_at	3.29e-01	2.35e-01	1.201911	-6.057579	0.2689937	QTRT1	queuine tRNA-ribosyltransferase catalytic subunit 1
203050_at	3.29e-01	2.35e-01	1.201868	-6.057629	0.1944405	TP53BP1	tumor protein p53 binding protein 1
238668_at	3.29e-01	2.35e-01	1.201835	-6.057667	0.420649	NCKAP1L	NCK associated protein 1 like
223207_x_at	3.29e-01	2.35e-01	1.201738	-6.057781	0.2522296	PHPT1	phosphohistidine phosphatase 1
